Date,FB,AMZN,AAPL,MSFT,GOOG,TSLA
8/14/2001,,10.52999973,0.286182791,20.59126282,,
8/15/2001,,10.07999992,0.281751812,20.11699104,,
8/16/2001,,9.81000042,0.284960538,20.56898308,,
8/17/2001,,9.989999771,0.276098311,19.69681931,,
8/20/2001,,10.39999962,0.276862353,19.95783234,,
8/21/2001,,9.890000343,0.273806542,19.34668159,,
8/22/2001,,10.19999981,0.2782377,19.30848885,,
8/23/2001,,9.630000114,0.272125721,18.81829262,,
8/24/2001,,10.22999954,0.283738106,19.75093842,,
8/27/2001,,10.13000011,0.289085984,19.83370018,,
8/28/2001,,9.970000267,0.281140655,19.33395958,,
8/29/2001,,9.18999958,0.272431284,19.17798996,,
8/30/2001,,8.68999958,0.272431284,18.12438965,,
8/31/2001,,8.93999958,0.283432513,18.15939903,,
9/4/2001,,8.590000153,0.278848648,17.85700798,,
9/5/2001,,7.650000095,0.283432513,18.37903404,,
9/6/2001,,8.149999619,0.270750642,17.83154488,,
9/7/2001,,8.510000229,0.264027685,17.63419342,,
9/10/2001,,8.630000114,0.265402794,18.32810211,,
9/17/2001,,7.489999771,0.259596735,16.84160995,,
9/18/2001,,7.289999962,0.248748407,17.29042244,,
9/19/2001,,7.309999943,0.260055095,17.14718819,,
9/20/2001,,7.480000019,0.239580706,16.15724564,,
9/21/2001,,7.480000019,0.240344629,15.82302952,,
9/24/2001,,7.460000038,0.251345873,16.55513573,,
9/25/2001,,7.090000153,0.237441614,16.32914162,,
9/26/2001,,6.349999905,0.231482595,16.00128174,,
9/27/2001,,6.199999809,0.23698321,15.90260983,,
9/28/2001,,5.96999979,0.23698321,16.28775787,,
10/1/2001,,6.010000229,0.237441614,16.48510361,,
10/2/2001,,6.079999924,0.229954675,16.88616562,,
10/3/2001,,6.760000229,0.228885129,17.89838791,,
10/4/2001,,7.039999962,0.242636591,17.96522903,,
10/5/2001,,7.199999809,0.246609226,18.37266731,,
10/8/2001,,7.119999886,0.24752593,18.47452545,,
10/9/2001,,6.909999847,0.244470134,17.36681747,,
10/10/2001,,7.260000229,0.256999135,17.66920853,,
10/11/2001,,7.849999905,0.271056294,17.92703056,,
10/12/2001,,8.069999695,0.275181651,17.94612885,,
10/15/2001,,8.880000114,0.274876028,18.48089409,,
10/16/2001,,9.56000042,0.275181651,18.60503387,,
10/17/2001,,8.920000076,0.259596735,17.83472252,,
10/18/2001,,8.470000267,0.275028765,18.06390762,,
10/19/2001,,8.010000229,0.27961272,18.42996788,,
10/22/2001,,8.770000458,0.2906138,19.14933395,,
10/23/2001,,9.550000191,0.277167886,19.23527718,,
10/24/2001,,7.639999866,0.289544314,19.51856804,,
10/25/2001,,7.769999981,0.293211371,19.91327286,,
10/26/2001,,7.559999943,0.285266042,19.79868126,,
10/29/2001,,7.050000191,0.269375533,18.98381996,,
10/30/2001,,6.420000076,0.268917143,18.74189949,,
10/31/2001,,6.980000019,0.268305898,18.50953674,,
11/1/2001,,6.949999809,0.284043759,19.68409348,,
11/2/2001,,6.710000038,0.283738106,19.54403687,,
11/5/2001,,6.989999771,0.291377813,20.1392746,,
11/6/2001,,7.050000191,0.299017519,20.61991501,,
11/7/2001,,7.429999828,0.299323052,20.45121574,,
11/8/2001,,6.96999979,0.285877138,20.50531769,,
11/9/2001,,7.119999886,0.285877138,20.75678253,,
11/12/2001,,7.050000191,0.286488444,20.94140244,,
11/13/2001,,7.289999962,0.295961678,21.61303139,,
11/14/2001,,9.489999771,0.299628586,20.99233246,,
11/15/2001,,9.050000191,0.297183931,21.04643631,,
11/16/2001,,8.949999809,0.289849967,20.92866898,,
11/19/2001,,9.18999958,0.305587649,21.1801281,,
11/20/2001,,8.600000381,0.298406333,20.81726646,,
11/21/2001,,8.800000191,0.30069828,20.38754272,,
11/23/2001,,9.079999924,0.303142905,20.59762955,,
11/26/2001,,12.21000004,0.326520383,20.73449898,,
11/27/2001,,11.47999954,0.320867062,20.28887939,,
11/28/2001,,11.59000015,0.313685685,19.98966217,,
11/29/2001,,11.14999962,0.312004954,20.63901138,,
11/30/2001,,11.31999969,0.325450808,20.43847656,,
12/3/2001,,10.48999977,0.321630925,20.61672783,,
12/4/2001,,11.93000031,0.342258185,21.00824738,,
12/5/2001,,11.76000023,0.363038063,21.67668915,,
12/6/2001,,12.10000038,0.348064244,21.85175705,,
12/7/2001,,11.71000004,0.344397277,21.59074783,,
12/10/2001,,11.64999962,0.344397277,21.3456459,,
12/11/2001,,12.23999977,0.332784981,21.42840958,,
12/12/2001,,11.90999985,0.328353912,21.6289463,,
12/13/2001,,10.89000034,0.320867062,21.0941925,,
12/14/2001,,11,0.311546654,21.46661568,,
12/17/2001,,10.81000042,0.315060824,21.95680428,,
12/18/2001,,10.85999966,0.321019769,22.0491066,,
12/19/2001,,10.71000004,0.330340117,22.11913872,,
12/20/2001,,10.14999962,0.315824836,21.25016022,,
12/21/2001,,10,0.320867062,21.49843597,,
12/24/2001,,9.829999924,0.326367587,21.41249657,,
12/26/2001,,11.10000038,0.328353912,21.54299927,,
12/27/2001,,10.60000038,0.33721596,21.59711075,,
12/28/2001,,10.89999962,0.342716485,21.6034832,,
